Title,Rotten Tomatoes,IMDb,Metacritic
Fight Club,0.81,0.89,0.66
Se7en,None,0.87,0.65
Saving Private Ryan,0.93,0.86,0.9
Children of Men,0.93,0.8,0.84
The Matrix,0.87,0.87,0.73
The Pursuit of Happyness,0.66,0.78,0.64
The Dark Knight,0.94,0.9,0.82
The Lord of the Rings: The Return of the King,0.94,0.89,0.94
The Avengers,0.16,0.84,0.69
Looper,0.93,0.79,0.84
